iter	Logloss
0	0.4953053366
1	0.4481177759
2	0.434656439
3	0.4286052933
4	0.4253137352
5	0.4239699519
6	0.4229568027
7	0.4214006104
8	0.4209059039
9	0.4203179701
10	0.4197728444
11	0.4193626326
12	0.4187743404
13	0.4180174645
14	0.417471611
15	0.4165217853
16	0.4159540174
17	0.415659129
18	0.4153186517
19	0.4148494252
20	0.4142654571
21	0.4139522013
22	0.4134437862
23	0.4129197116
24	0.4124844676
25	0.4121198409
26	0.4116135401
27	0.4110076715
28	0.4104677594
29	0.4097108381
30	0.4091327782
31	0.4083261993
32	0.4079778477
33	0.4074704323
34	0.4068442085
35	0.4061248777
36	0.4055676049
37	0.4051408561
38	0.4046110472
39	0.4041255576
40	0.4036612857
41	0.4032197848
42	0.4027912755
43	0.4020911989
44	0.4016270398
45	0.4013046673
46	0.4007269094
47	0.4001521301
48	0.3996562807
49	0.3991096305
