iter	Passed	Remaining
0	117	5763
1	225	5417
2	343	5385
3	454	5222
4	559	5039
5	662	4857
6	762	4686
7	866	4549
8	971	4427
9	1067	4270
10	1178	4180
11	1270	4023
12	1371	3903
13	1484	3818
14	1598	3730
15	1698	3608
16	1805	3504
17	1914	3402
18	2025	3304
19	2122	3183
20	2230	3079
21	2338	2975
22	2438	2862
23	2541	2753
24	2631	2631
25	2740	2529
26	2848	2426
27	2953	2320
28	3058	2214
29	3164	2109
30	3267	2002
31	3371	1896
32	3483	1794
33	3583	1686
34	3692	1582
35	3797	1476
36	3888	1366
37	3977	1255
38	4080	1150
39	4188	1047
40	4280	939
41	4370	832
42	4466	727
43	4575	623
44	4655	517
45	4744	412
46	4861	310
47	4968	207
48	5062	103
49	5171	0
