plant,plant_type,city
95b09698fda1f64af16708ffb859eab9,HM,St. Petersburg
926abae84a4bd33c834bc6b981b8cf30,HM,St. Petersburg
ae2bac2e4b4da805d01b2952d7e35ba4,HM,St. Petersburg
0e7e3cf0ded4d9db8b376b317c007f99,HM,St. Petersburg
540bd55a2cf295b8ea9cd78650e89d03,HM,St. Petersburg
147768d3955e38c4e662c0a95d807abc,HM,Other
2ebe25dd3a566f36f80d55440d3c3834,HM,Other
ba1d8b273d67c04097d64fad565a79d9,HM,Other
66ff67ba2a11f6975dd7293039ed593e,HM,Other
c0f82517af0829daac3a6cf82e9ecc1e,HM,Other
d1f06d78c49ae2f50ed110bf71b14d5d,HM,Other
bc0137b31ec76a5db842d365640116bd,HM,Other
d33f67c5652acb3fac99b9dc16bea0c1,HM,Other
5e9167571c4fdf5f5bceabb11ca7d4c9,HM,Other
47f91082e4cc7d6d0fcf49d5aa6f3711,HM,Other
73cc1f9b54baa5917ae240b96c832690,HM,Other
8a68db05bb4617cf7bdc2901679a28d7,HM,Other
533e708938a41768fa8e38b3be11a82a,HM,Other
019121020b208d11b01af68ee1235133,HM,Other
96fd0b319802304d48a45170b917cd27,HM,Other
5c085a3a870d577a36adfdf7e2d872e0,HM,Other
47fb33421eb25052e477ab7bbc53e72f,HM,Other
c3b86052d1fc94bd11c279a17f3f25e1,HM,Other
9ce3eb7e9ba5cbe1c2e9c3afe227e388,HM,Other
1f262a60600e30c026663a7ccbed6bab,HM,Other
b0f07fe0f7de991bfca0de50391eb328,HM,Other
13448471d89a9cd8d7f71026a0334ec8,HM,Other
2a66acbc1c39026b5d70457bb71b142b,HM,Other
8c5781246fcb0296e1f11cd4e2eee68d,HM,Other
a8d48ed01e06015083c360366501e726,HM,Other
fee67cadcc3a0bec8e00641884903c45,HM,Other
c22b7285b63e1d6f09a10dc258858d48,HM,Other
dad2fd502d209b12ac27f451b0b9c17e,HM,Other
ba8f3385d13f0bda22b82908092f5963,HM,Other
bda8f8645db921d24845639f76635574,HM,Other
e85984bd537ecc6d027b43bef22e4f12,HM,Other
1a2dae77a98c395c0252c1d6c1445128,HM,Other
6a2095bc178dbb0ba00e8fd5f10306b2,HM,Other
536fcc1021bff60edb212ca9b2480757,HM,Other
2b7f8457c72458d71a5b2b4380972519,HM,Other
cd9e5fd837de37a31685fc9ed5d7f166,HM,Other
ca0a908e85ac27b2cd0d2b82b3e374e5,HM,Moscow
371dbe4b2cf1d2e4cae0237b0910ed8c,HM,Other
7e16036a55664f22e6511e460ee09d4f,HM,Other
40975bf37747b01969933d4b6c8f31d5,HM,Other
7d9a22c8598378bd6bb67584611867f7,HM,Other
6e4d97fcf372625b900dbef16915d429,HM,Other
164cc88744837aadfd7c50cbd7fe4f92,HM,Other
605b3386cb5ef25b8d60d1bacfeeab7a,HM,Other
17badeafa806e96c27aea3347672e9ca,HM,Other
e6fb2f85705dfa295a82233013ab335b,HM,Other
7dd5071ff43138f6756e30f4b271c4ac,HM,Other
d04feef70623eaf7167f9172da8650db,HM,Other
5bbac39cd13478e3c41463540d032c22,HM,St. Petersburg
0c82a0ea628e0ec608d70d1db9d822d9,HM,St. Petersburg
4f1ac1f615a1c3414134c2d3ae9a3f58,HM,St. Petersburg
6deaa90ea76ff91937766e94f28bd457,HM,Other
2c393e45170ca8e02cc1b670e799da1b,HM,Other
a3363a6147d5ccb2bbd06d1fa3c7f276,HM,Moscow
c0c4f87d4e53b61ab4ada355c534db1e,HM,Other
3bd191aadaebb78ea49f12d8228ad4f8,HM,Other
944de8673b0f2d1603a6ff33b18b8192,HM,Other
19a6a0b9360519fe82b5b06b3f79d62c,HM,Other
3a1e655328599b6a1208115f2271c942,HM,Other
564f4bcd11273b8ea6b49fbe2dc2ad1c,SM,Moscow
71f1c79e7e368a537e891c49552fa4c4,SM,Other
3170018c26354727e9cc9f4677cf78b6,SM,Other
62429b8219194f0722dfea6509875729,SM,Other
4999cb99a2bdc2b409359acc1b92e033,SM,Moscow
b62e8626ca7f5d5c9abfa7faf04644e5,SM,Other
ccc41c02a8023c7cb85988570a12a432,SM,Moscow
a3013bbb29135a20b4cb9cf2342ea55c,SM,Other
fd820608a52c45a3553096839e17cfc0,SM,Other
8e811a108a578f67e0024f7980d07434,SM,Other
68a7e85c6872a4685c2e7a29ba330461,SM,Other
725b3b6ce6071088bbb07876e525145a,SM,Other
6a50bc78695ddc78140043c3f4c87041,SM,Other
c96b4f616ab0c4592adfa2e9fe0ec6f8,SM,Moscow
02ebef8c56a7ada3f1ed5e900e3143c0,SM,St. Petersburg
c295dbad8e8dcfe43607b06df0ac3f32,SM,Other
c5efe10ef922d575908700ec15d7517f,SM,St. Petersburg
2a1eb14b0b03ef6bfa8fb6f8c8fb03d6,SM,Other
07c35a488ef6bbe1b134a77017455eb6,SM,St. Petersburg
4e5219bbc34f22efcb202c828f639d57,SM,Other
85d606c4530d98879e87f1be4aa56fc2,SM,St. Petersburg
a9d3b5ad5cade993e537dc01f2ac6030,SM,Other
6296580f0889e341dd9ba0992333171d,SM,St. Petersburg
9bb8d911c34ecdb260ff39c4de70d8b6,SM,Other
4135a6f12bd7b1007140f6c4deec37dc,SM,Other
26ffcef53c44522efbfe7fef964a4058,SM,Other
ad0c8b5ad26e1ed11db9225622469c82,SM,Other
f655baaba8719500928a4913c36f3ff1,SM,Other
47912bbd6d5176a55d9fd9325470e528,SM,Other
cf73ecbcb2c78daad053ebdbb9d2bc1d,SM,Other
d6c3e4cbc8c56ce6db139744dc6b81c1,SM,Other
d00f3f3d151a0c4c195f1e05870fbd19,SM,Other
5043df7db3ba555177b80e01963c02eb,SM,Other
5aee410122e9d1d76f194496cb2f90de,SM,Other
27527712b072e72c35248f1c105b5534,SM,Other
25bbdcd06c32d477f7fa1c3e4a91b032,HM,St. Petersburg
d39934ce111a864abf40391f3da9cdf5,HM,St. Petersburg
29549a71a57f587d88209b9c1f1b7999,HM,St. Petersburg
29150bb2319c182c944841c74d2f8d75,HM,St. Petersburg
c3f484315c27d75d5449e9e0963949da,HM,Other
b26747fc8cb2170baa866b315cf58b7c,HM,Other
f865c5e07958ad70ef989e905390f6d0,HM,Other
1d0d2cade49078f9d43bbdfab67abbc0,HM,Other
3c0d8d9b8a1bdd4eca72ef03f6151254,HM,Other
28851508796a4b995d21bfa6cbfdce3a,HM,Other
c9df945f744f1f5927f66cf11a8a990f,HM,Other
2c4189a6213986088de094a5623ec98b,HM,Other
2d17b1cd9f1f0c85bb90adad7c25ac5e,HM,St. Petersburg
164500d002b98f88d1e1b2a806a792d9,HM,Other
158939b55b7981a76550ce43c178d8d0,HM,Other
728eef66ed28de18b6fde6cc4aaf874c,HM,Other
75f56f82bbabc12898b7ff63ebebe482,HM,Other
8136aba13e6cb914b2bc8d865a027e01,HM,Other
f178006b0a65b291fdb098b6484dcdbb,HM,Other
279f4fe9db63a9f4b87e18073956d7cf,HM,Other
cccc8bc3d6630bf84a08f9ba361baea0,HM,Other
692bf3658e41106e0685c99ffc6f3343,HM,Other
78d7f304a8dd3b9e71d656514c2d4605,HM,Other
f96816687580650f672ee11621c47dcb,HM,Other
db2f40f24260bc41db48d82d5e7abf1d,HM,Other
7d7c45b9a935cf9d845fc75679a41559,HM,Other
4bc8f1a601aee89546deeb66b9625008,HM,Other
ed5fc9493b475813203e1c2497a11f6f,HM,Other
f0f4b6598f2cee45644673998b4f44be,HM,Other
f6c0c55d8d0a5cd1f69ceaf3d5b4e108,HM,Other
fc2751520dda99c0c7f267904fb483e7,HM,Other
40c0e9499a2b2a53c7b4998ce2baa501,HM,Other
5150e87be6c34a30cd822e013c4daed5,HM,Other
612b9796c617960a4e9abe05845c3d43,HM,Other
f0bb93e395c7c1a09e6206f2016dfc47,HM,Other
adeb12111c95807557664efbf3b746ae,HM,Other
7f565fba617ebfa2ad7abe7bab010e45,HM,Other
21263296b783b2bff8ce23b30feadb7a,HM,Other
c5b4b89e78f2a2850f024e6a17b0a813,HM,Other
a410115ed452a9213424d92cacd2a083,HM,Other
c7a81b41061b9b204f9edefab0d7d99e,HM,Other
b03a75fccca587a511170aa5b7952210,HM,Other
f55cae80eb012999557b87cc9c6a0945,HM,Other
dba756de0b61be1f920b97c5ae43fa23,HM,Other
96a0b02d02f54f8e48dad3d9b69a2016,HM,Other
c81c2b9e997a81f84838cd8e60b93a01,HM,Other
5e90ae5f6eb12b3f3e3c86c0409de103,HM,Other
7f1a65908b05238c21c134c764c89e28,HM,St. Petersburg
cd6ebdcfe9b6f0ce7ac05d8848a8c956,HM,Other
d972dc8564e175effccbcb3e402650eb,HM,Other
56c66132e67551c55b1667f9b14de886,HM,Other
2b860836a9f611be7eb70765397af3de,HM,Other
abe2f280ca5367cc24d70089b07050b4,HM,Other
d8e43605bb0aa00e6d67676ab9e1db5e,HM,Other
65b6f89e9041a2a78554f1c3db6c13e9,HM,Other
a9b2b0ce7799c4de9c7a3aed9ebeddeb,HM,St. Petersburg
1640f59af9fc45f93a72652de254d387,HM,Other
b94d71e6bc4cc21ffbaaef5e4aca6f03,HM,St. Petersburg
3ab586f9ea0a8e5f3f1109a4862476a5,HM,Other
f90a337271004d00cbd620a61844401a,HM,Other
d25922edb7ab92c0ca31328cbdcbd42f,HM,Moscow
ba7df060feb0b2ddaee4c4b760f187b3,HM,Other
c90b7f4378a55a9170642af29922cf5c,SM,Other
e8fe547e1a016acdc23b7428b14cc5fe,SM,Moscow
c60dffe5e8e83e8819a88d5feb479b13,SM,Other
09bb9b610c9bdc2393e852c23df1ccf3,SM,Moscow
116b37f9cdcefe217d8f05bfe8533f49,SM,Other
3e323529d2060298979f801772e0340e,SM,Other
e643b33b3019892367371b27bc0e63c2,SM,Other
e7690d455e577963ad2b04cf4e6dd9ef,SM,Other
2521f126b3296e2016091b3f576bb77f,SM,Other
d5d70bd86c4760ff5b7a703acd34e5e5,SM,Other
ab672dae7c05f5595eec0255a0eaea7b,SM,Other
58b531afd9c8cf0f08af11487a5a0b3c,SM,Other
d139b6072a9c89ff97c2140285a2c275,SM,Moscow
a9699f79c9fa998546818d396cb7646e,SM,Other
a073be8fcff86c2f5f8276aedfa5fe25,SM,Other
5a3826d813001706fa846bb364e7e363,SM,Other
d57898ab11a6d2f16bd8c67a2533ae98,SM,St. Petersburg
a1d2e644cf5204646a9e4be041fc53a3,SM,Other
fa6250961bd946dd412a36857953dea2,SM,Other
0f3de8bf2672002182482b5a55464b13,SM,St. Petersburg
54ffc77c39adb324824ea4b08a430e52,SM,Other
174ecc1bc7cfc21f036a42df4909dd94,SM,Other
65471a23338bed5a76082980722fefe6,SM,Other
45226bae7da31547fbdca1c62d24a8dd,SM,Other
